iter	Passed	Remaining
894	1398	164
895	1400	162
896	1401	160
897	1402	159
898	1403	157
899	1404	156
900	1405	154
901	1406	152
902	1407	151
903	1408	149
904	1409	147
905	1410	146
906	1411	144
907	1412	143
908	1413	141
909	1414	139
910	1415	138
911	1417	136
912	1418	135
913	1419	133
914	1420	131
915	1421	130
916	1422	128
917	1423	127
918	1424	125
919	1425	123
920	1427	122
921	1427	120
922	1429	119
923	1430	117
924	1431	116
925	1432	114
926	1433	112
927	1435	111
928	1436	109
929	1437	108
930	1438	106
931	1439	105
932	1440	103
933	1441	101
934	1442	100
935	1444	98
936	1445	97
937	1446	95
938	1447	94
939	1448	92
940	1450	90
941	1451	89
942	1452	87
943	1453	86
944	1454	84
945	1455	83
946	1456	81
947	1457	79
948	1458	78
949	1460	76
950	1461	75
951	1462	73
952	1463	72
953	1464	70
954	1465	69
955	1466	67
956	1468	65
957	1469	64
958	1470	62
959	1471	61
960	1472	59
961	1473	58
962	1474	56
963	1475	55
964	1477	53
965	1478	52
966	1480	50
967	1481	48
968	1482	47
969	1483	45
970	1485	44
971	1486	42
972	1487	41
973	1488	39
974	1489	38
975	1490	36
976	1491	35
977	1492	33
978	1493	32
979	1495	30
980	1496	28
981	1497	27
982	1498	25
983	1499	24
984	1500	22
985	1501	21
986	1503	19
987	1504	18
988	1505	16
989	1507	15
990	1508	13
991	1509	12
992	1510	10
993	1512	9
994	1513	7
995	1514	6
996	1515	4
997	1516	3
998	1518	1
999	1519	0
